filter,sharpness, roundness1, ellipticity, flux_frac_radius_50, flux_ratio_aper01_aper02, flux_ratio_aper02_aper04, flux_ratio_aper04_aper08, flux_err_ratio_psf_theory
F062, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0        
F087, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
F106, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
F129, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
F146, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
F158, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
F184, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
F213, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Prism, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Grism, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Prism_b8, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Prism_r8, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Grism_b8, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Grism_r8, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
